Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Transportation,0049-4488,1572-9435,2,1,Tekn - Bygg og konstruksjonsteknikk,34,785626,34.0,100.0,"[u'http://vi.dbpedia.org/resource/\u0110\u1ea3o_Howland', u'http://dbpedia.org/resource/246th_Transportation_Battalion_(United_States)', u'http://dbpedia.org/resource/Ben_Holladay__1', u'http://dbpedia.org/property/transportation', u'http://ld.zdb-services.de/resource/148180-0', u'http://dbpedia.org/resource/Regional_Transportation_Commission_of_Southern_Nevada', u'http://dbpedia.org/resource/Category:Transport', u'http://dbpedia.org/property/transportation', u'http://dbpedia.org/resource/497th_Transportation_Company', u'http://dbpedia.org/resource/Coastal_Link_Ferries', u'http://dbpedia.org/resource/Girardin_Minibus', u'http://dbpedia.org/resource/497th_Transportation_Company', u'http://dbpedia.org/resource/6th_Transportation_Battalion_(United_States)', u'http://dbpedia.org/resource/Tsugaru_Railway_Company', u'http://dbpedia.org/resource/Wildfire_(motor_company)', u'http://dbpedia.org/resource/Ward_Body_Works', u'http://dbpedia.org/resource/Intalink', u'http://dbpedia.org/resource/Ironhide', u'http://dbpedia.org/resource/Italthai_Industrial_Group', u'http://dbpedia.org/resource/Golden_Gate_Bridge,_Highway_and_Transportation_District']"
Transportation Research Part B: Methodological,0191-2615,1879-2367,2,1,Tekn - Bygg og konstruksjonsteknikk,689,50,8.0,50.0,"[u'http://ld.zdb-services.de/resource/1501221-9', u'http://www.hero.ac.uk/rae/#Journal-transportation_research,_part_b:_methodological:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_b:_methodological:1999', u'http://eprints.rkbexplorer.com/id/ucl/journal-5759dcea25bc12b7a195f907522cd21b', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_b:_methodological:1998', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_b:_methodological:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research,_part_b:_methodological:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_b:_methodological:1999', u'http://www.hero.ac.uk/rae/#Journal-transportation_research,_part_b:_methodological:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_b:_methodological:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research,_part_b:_methodological:1997', u'http://wikidata.dbpedia.org/resource/Q15750496', u'http://wikidata.dbpedia.org/resource/Q15750496', u'http://wikidata.dbpedia.org/resource/Q15750496', u'http://wikidata.dbpedia.org/resource/Q15750496', u'http://era.rkbexplorer.com/id/ERAID-36284', u'http://www.wikidata.org/entity/Q15750496S572AC7CE-ECA6-43E1-93D7-64C19A9CA486', u'http://www.wikidata.org/entity/Q15750496', u'http://www.wikidata.org/entity/Q15750496', u'http://www.wikidata.org/entity/Q15750496']"
Transportation Research Part C: Emerging Technologies,0968-090X,1879-2359,2,1,Tekn - Bygg og konstruksjonsteknikk,1136,43,7.0,43.0,"[u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_c:_emerging_technologies:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_c:_emerging_technologies:1998', u'http://www.hero.ac.uk/rae/#Journal-transportation_research_part_c,_emerging_technologies:1998', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_c:_emerging_technologies:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_c:_emerging_technologies:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_c:_emerging_technologies:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research_part_c,_emerging_technologies:1998', u'http://wikidata.dbpedia.org/resource/Q15765651', u'http://era.rkbexplorer.com/id/ERAID-4300', u'http://www.wikidata.org/entity/Q15765651SE2153024-B700-4358-9068-6CDB95BA8A5D', u'http://www.hero.ac.uk/rae/#Journal-transportation_research_part_c,_emerging_technologies:1998', u'http://www.wikidata.org/entity/Q15765651', u'http://www.wikidata.org/entity/Q15765651', u'http://eprints.soton.ac.uk/id/publication/ext-0968090X', u'http://www.bibsonomy.org/bibtex/2fbd3851df38ef70c99e9fb02603b1c72/atriana', u'http://ld.zdb-services.de/resource/1150833-4', u'http://ld.zdb-services.de/resource/2015891-9', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_c:_emerging_technologies:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_c:_emerging_technologies:1997', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_c:_emerging_technologies:1996']"
Transportation Research Part E: Logistics and Transportation Review,1366-5545,1878-5794,2,1,Tekn - Bygg og konstruksjonsteknikk,426,25,8.0,25.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_e:_logistics_and_transportation_review:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research._part_e:_logistics_and_transportation_review:1997', u'http://wikidata.dbpedia.org/resource/Q15765649', u'http://wikidata.dbpedia.org/resource/Q15765649', u'http://era.rkbexplorer.com/id/ERAID-4301', u'http://www.wikidata.org/entity/Q15765649', u'http://www.wikidata.org/entity/Q15765649', u'http://www.wikidata.org/entity/Q15765649', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_e:_logistics_and_transportation_review:1997', u'http://wikidata.dbpedia.org/resource/Q15765649', u'http://wikidata.dbpedia.org/resource/Q15765649', u'http://era.rkbexplorer.com/id/ERAID-4301', u'http://www.wikidata.org/entity/Q15765649SE35B80E8-9D02-4B44-AE95-C372599DD3CA', u'http://www.wikidata.org/entity/Q15765649', u'http://www.wikidata.org/entity/Q15765649', u'http://ld.zdb-services.de/resource/1380969-6', u'http://www.hero.ac.uk/rae/#Journal-transportation_research._part_e:_logistics_and_transportation_review:1997', u'http://wikidata.dbpedia.org/resource/Q15765649', u'http://wikidata.dbpedia.org/resource/Q15765649', u'http://wikidata.dbpedia.org/resource/Q15765649']"
Transportation Research Part F: Traffic Psychology and Behaviour,1369-8478,1873-5517,2,1,Tekn - Bygg og konstruksjonsteknikk,630,38,10.0,38.0,"[u'http://ld.zdb-services.de/resource/2019959-4', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research,_part_f:_traffic_psychology_and_behaviour:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research_part_f:_traffic_psychology_and_behaviour:2000', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://era.rkbexplorer.com/id/ERAID-6691', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://www.wikidata.org/entity/Q15763669', u'http://www.wikidata.org/entity/Q15763669', u'http://ld.zdb-services.de/resource/1402742-2', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research_part_f:_traffic_psychology_and_behaviour:2000', u'http://www.hero.ac.uk/rae/#Journal-transportation_research,_part_f:_traffic_psychology_and_behaviour:1998', u'http://www.hero.ac.uk/rae/#Journal-transportation_research_part_f:_traffic_psychology_and_behaviour:2000', u'http://www.hero.ac.uk/rae/#Journal-transportation_research,_part_f:_traffic_psychology_and_behaviour:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-transportation_research,_part_f:_traffic_psychology_and_behaviour:1998', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://wikidata.dbpedia.org/resource/Q15763669', u'http://www.wikidata.org/entity/Q15763669SB7AD64BB-34DB-4FF7-8DE0-FC58033F74A6']"
Ultrasound in Medicine and Biology,0301-5629,1879-291X,1,2,Med - Radiol og bildediagn,1805,305,13.0,100.0,"[u'http://nl.dbpedia.org/resource/Ultrasound_in_Medicine_and_Biology', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000004044', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ultrasound_in_medicine_and_biology:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ultrasound_in_medicine_and_biology:1998', u'http://www.hero.ac.uk/rae/#Journal-ultrasound_in_medicine_and_biology:1998', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000004045', u'http://www.hero.ac.uk/rae/#Journal-ultrasound_in_medicine_and_biology:1997', u'http://www.hero.ac.uk/rae/#Journal-ultrasound_in_medicine_and_biology:2000', u'http://eprints.rkbexplorer.com/id/twente/journal-752114a9e8ceefd69675a4d10aa2473e', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ultrasound_in_medicine_and_biology:1998', u'http://eprints.rkbexplorer.com/id/journal-752114a9e8ceefd69675a4d10aa2473e', u'http://eprints.rkbexplorer.com/id/kfupm/journal-ed0fa89c2f010c372776632e1d427d3d', u'http://www.hero.ac.uk/rae/#Journal-ultrasound_in_medicine_and_biology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ultrasound_in_medicine_and_biology:2000', u'http://wikidata.dbpedia.org/resource/Q2260380', u'http://lod.hebis.de/resource/04720935', u'http://wikidata.dbpedia.org/resource/Q2260380', u'http://wikidata.dbpedia.org/resource/Q2260380', u'http://era.rkbexplorer.com/id/ERAID-16929', u'http://www.hero.ac.uk/rae/#Journal-ultrasound_in_medicine_and_biology:1996']"
University of Pennsylvania law review,0041-9907,1942-8537,2,1,Rettsvitenskap,5157,657,33.0,100.0,"[u'http://dbpedia.org/resource/University_of_Pennsylvania_Law_Review', u'http://dbpedia.org/resource/University_of_Pennsylvania_Law_Review', u'http://vi.dbpedia.org/resource/Lu\u1eadt_ph\xe1p', u'http://dbpedia.org/resource/University_of_Pennsylvania_Law_Review', u'http://de.dbpedia.org/resource/Public_law_(Vereinigte_Staaten)', u'http://dbpedia.org/resource/Law', u'http://dbpedia.org/resource/Law', u'http://vi.dbpedia.org/resource/Lu\u1eadt_ph\xe1p', u'http://dbpedia.org/resource/University_of_Pennsylvania_Law_Review', u'http://vi.dbpedia.org/resource/Lu\u1eadt_ph\xe1p', u'http://dbpedia.org/resource/University_of_Pennsylvania_Law_Review', u'http://wikidata.dbpedia.org/resource/Q7896086', u'http://fr.dbpedia.org/resource/Court_of_Chancery', u'http://fr.dbpedia.org/resource/Charles_De_Visscher', u'http://wikidata.dbpedia.org/resource/Q7896086', u'http://era.rkbexplorer.com/id/ERAID-34049', u'http://fr.dbpedia.org/resource/Charles_De_Visscher', u'http://lobid.org/resource/HT005604293', u'http://lobid.org/resource/HT005604304', u'http://lobid.org/resource/HT005604327']"
Utilitas,0953-8208,1741-6183,1,2,Filosofi og idéhistorie,3,2330,50.0,100.0,"[u'http://dbpedia.org/resource/Matti_H%C3%A4yry', u'http://ld.zdb-services.de/resource/2069429-5', u'http://dbpedia.org/resource/St._Bernard_(dog)', u'http://dbpedia.org/resource/St._Bernard_(dog)', u'http://de.dbpedia.org/resource/Utilitas', u'http://id.dbpedia.org/resource/Utilitas', u'http://dbpedia.org/resource/Shiba_Inu', u'http://rae2001.rkbexplorer.com/id/resource-Journal-utilitas:1998', u'http://lodlaundromat.org/.well-known/genid/e50384ae27132be62474f52ee64d6e48#httpx3Ax2Fx2Frdfx2Efreebasex2Ecomx2Frdfx2Fmx2F0gmbx78dvxxbnode2', u'http://rae2001.rkbexplorer.com/id/resource-Journal-utilitas:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-utilitas:1997', u'http://eprints.rkbexplorer.com/id/lse/journal-f9cf5598a0a663ced1f2c398ecf47960', u'http://www.hero.ac.uk/rae/#Journal-utilitas:1998', u'http://www.hero.ac.uk/rae/#Journal-utilitas:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-utilitas:1994', u'http://www.hero.ac.uk/rae/#Journal-utilitas:1996', u'http://www.hero.ac.uk/rae/#Journal-utilitas:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-utilitas:2000', u'http://pl.dbpedia.org/resource/Matti_H\xe4yry', u'http://rae2001.rkbexplorer.com/id/resource-Journal-utilitas:2000']"
Vanderbilt Journal of Transnational Law,0090-2594,,2,1,Rettsvitenskap,182,43,15.0,43.0,"[u'http://ld.zdb-services.de/resource/195032-0', u'http://rae2001.rkbexplorer.com/id/resource-Journal-vanderbilt_journal_of_transnational_law.:1999', u'http://wikidata.dbpedia.org/resource/Q15762023', u'http://era.rkbexplorer.com/id/ERAID-34066', u'http://wikidata.dbpedia.org/resource/Q15762023', u'http://www.wikidata.org/entity/Q15762023', u'http://www.wikidata.org/entity/Q15762023', u'http://www.wikidata.org/entity/Q15762023', u'http://lod.hebis.de/resource/11602154', u'http://ld.zdb-services.de/resource/2127384-4', u'http://www.hero.ac.uk/rae/#Journal-vanderbilt_journal_of_transnational_law.:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-vanderbilt_journal_of_transnational_law.:1999', u'http://www.hero.ac.uk/rae/#Journal-vanderbilt_journal_of_transnational_law.:1999', u'http://wikidata.dbpedia.org/resource/Q15762023', u'http://wikidata.dbpedia.org/resource/Q15762023', u'http://wikidata.dbpedia.org/resource/Q15762023', u'http://www.wikidata.org/entity/Q15762023SBDD62FB5-33D7-4BE9-AAF6-EA4DD1AA32A9', u'http://www.wikidata.org/entity/Q15762023', u'http://www.wikidata.org/entity/Q15762023', u'http://lod.hebis.de/resource/06438972']"
Vanderbilt Law Review,0042-2533,1942-9886,2,1,Rettsvitenskap,351,54,31.0,54.0,"[u'http://ld.zdb-services.de/resource/2765017-0', u'http://wikidata.dbpedia.org/resource/Q7914442', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://era.rkbexplorer.com/id/ERAID-34067', u'http://lobid.org/resource/ZDB2067138-6', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://lod.hebis.de/resource/10288465', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://ld.zdb-services.de/resource/2067138-6', u'http://ld.zdb-services.de/resource/427505-6', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://era.rkbexplorer.com/id/ERAID-34067', u'http://dbpedia.org/class/yago/VanderbiltLawReview', u'http://lod.hebis.de/resource/06534979', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://dbpedia.org/resource/Vanderbilt_Law_Review', u'http://lobid.org/resource/ZDB2067138-6', u'http://lobid.org/resource/HT005637478']"
Water Science and Technology,0273-1223,1996-9732,1,2,Tekn - Bygg og konstruksjonsteknikk,3011,775,19.0,100.0,"[u'http://ld.zdb-services.de/resource/764273-8', u'http://ld.zdb-services.de/resource/2024780-1', u'http://dbpedia.org/resource/Sauvignon_blanc', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:2000', u'http://www.hero.ac.uk/rae/#Journal-water,_science_and_technology:1999', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology,:1996', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1999', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1999', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-water,_science_and_technology:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-water_science_and_technology:2000', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1998', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1999', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1996', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-water_science_and_technology.:1996', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1997', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:1997', u'http://www.hero.ac.uk/rae/#Journal-water_science_and_technology:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-water_science_and_technology:1997']"
World Tax Journal,1878-4917,,1,2,Rettsvitenskap,1497,21,7.0,21.0,"[u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://www.wikidata.org/entity/Q15817126', u'http://www.wikidata.org/entity/Q15817126', u'http://lod.hebis.de/resource/21706802', u'http://lod.hebis.de/resource/22592864', u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://www.wikidata.org/entity/Q15817126S4E31FA45-825A-4D38-A651-3E64BD98495B', u'http://www.wikidata.org/entity/Q15817126', u'http://www.wikidata.org/entity/Q15817126', u'http://lod.hebis.de/resource/22592864', u'http://ld.zdb-services.de/resource/2520826-3', u'http://ld.zdb-services.de/resource/2568021-3', u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://wikidata.dbpedia.org/resource/Q15817126', u'http://www.wikidata.org/entity/Q15817126', u'http://www.wikidata.org/entity/Q15817126', u'http://www.wikidata.org/entity/Q15817126']"
Written Communication,0741-0883,1552-8472,1,2,Lingvistikk,1800,11328,20.0,100.0,"[u'http://ld.zdb-services.de/resource/2031449-8', u'http://ld.zdb-services.de/resource/11576-9', u'http://dbpedia.org/resource/Category:Written_communication', u'http://dbpedia.org/resource/Category:Written_communication', u'http://dbpedia.org/resource/Category:Written_communication', u'http://www.livejournal.com/interests.bml?int=written+communication', u'http://www.vox.com/explore/interests/written%20communication', u'http://wordnet.rkbexplorer.com/id/wordsense-written_communication-noun-1', u'http://dbpedia.org/resource/Written_communication', u'http://www4.wiwiss.fu-berlin.de/bookmashup/subject/Written+communication', u'http://www.w3.org/2006/03/wn/wn20/instances/word-written_communication', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#884911', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#128230', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#1704671', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#1920941', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#19339', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#1849306', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#2074501', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#2175155', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#89086']"
